[2018-09-11 20:18:21] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:29:41] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[268433152]
[2018-11-25 15:29:41] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[260040448]
[2018-11-25 15:29:41] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 15:29:41] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[234862336]
[2018-11-25 15:29:41] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[226469632]
[2018-11-25 15:29:53] | CInterfaceManager.cpp-L1208: getfcnt [673], getfcntsucceed[0], totalRecv[0] 
[2018-11-25 15:29:53] | CInterfaceManager.cpp-L1208: getfcnt [12], getfcntsucceed[0], totalRecv[0] 
[2018-11-25 15:29:53] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2018-11-25 15:29:53] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2018-11-25 15:29:53] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2018-11-25 15:29:53] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2018-11-25 15:48:56] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:48:57] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:48:57] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 15:48:57] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 15:48:57] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 15:48:57] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 15:48:57] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-545265920]
[2018-11-25 15:48:57] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-553658624]
[2018-11-25 15:48:57] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 15:48:57] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-578836736]
[2018-11-25 15:48:57] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-587229440]
[2018-11-25 15:56:25] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:56:26] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 15:56:27] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 15:56:27] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 15:56:27] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 15:56:27] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 15:56:27] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 15:56:27] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[564586240]
[2018-11-25 15:56:27] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[572978944]
[2018-11-25 15:56:27] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[67106560]
[2018-11-25 15:56:27] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[58713856]
[2018-11-25 16:04:42] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:04:59] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:05:00] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:05:01] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 16:05:01] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 16:05:01] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 16:05:01] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 16:05:01] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1446369536]
[2018-11-25 16:05:01] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1454762240]
[2018-11-25 16:05:01] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 16:05:01] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1954552064]
[2018-11-25 16:05:01] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1962944768]
[2018-11-25 16:05:16] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:05:17] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:05:18] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 16:05:18] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 16:05:18] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 16:05:18] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 16:05:18] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-394012928]
[2018-11-25 16:05:18] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-738199808]
[2018-11-25 16:05:18] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 16:05:18] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-771770624]
[2018-11-25 16:05:18] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-763377920]
[2018-11-25 16:05:27] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:05:28] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:05:29] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 16:05:29] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 16:05:29] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 16:05:29] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 16:05:29] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-980777216]
[2018-11-25 16:05:29] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 16:05:29] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-989169920]
[2018-11-25 16:05:29] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1484790016]
[2018-11-25 16:05:29] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1493182720]
[2018-11-25 16:06:33] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:06:34] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:06:35] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 16:06:35] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 16:06:35] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 16:06:35] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 16:06:35] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1101031168]
[2018-11-25 16:06:35] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1109423872]
[2018-11-25 16:06:35] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 16:06:35] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[603977472]
[2018-11-25 16:06:35] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[595584768]
[2018-11-25 16:09:29] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:09:30] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:09:31] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 16:09:31] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 16:09:31] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 16:09:31] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 16:09:31] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-2080377088]
[2018-11-25 16:09:31] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-2088769792]
[2018-11-25 16:09:31] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 16:09:31] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-2122340608]
[2018-11-25 16:09:31] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-2113947904]
[2018-11-25 16:10:08] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:10:10] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:10:10] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 16:10:10] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 16:10:10] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 16:10:10] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 16:10:10] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[318756608]
[2018-11-25 16:10:10] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[310363904]
[2018-11-25 16:10:10] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 16:10:10] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[285185792]
[2018-11-25 16:10:10] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-201328896]
[2018-11-25 16:12:09] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:12:10] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:12:11] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 16:12:11] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 16:12:11] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 16:12:11] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 16:12:11] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1442859264]
[2018-11-25 16:12:11] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1434466560]
[2018-11-25 16:12:11] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 16:12:11] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1946159360]
[2018-11-25 16:12:11] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1954552064]
[2018-11-25 16:13:21] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:13:22] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:13:23] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 16:13:23] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 16:13:23] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 16:13:23] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 16:13:23] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-2088769792]
[2018-11-25 16:13:23] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-2097162496]
[2018-11-25 16:13:23] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 16:13:23] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-2122340608]
[2018-11-25 16:13:23] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-2130733312]
[2018-11-25 16:14:37] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:14:38] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:14:38] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 16:14:38] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 16:14:38] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 16:14:38] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 16:14:38] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1599416576]
[2018-11-25 16:14:38] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1946159360]
[2018-11-25 16:14:38] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 16:14:38] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1971337472]
[2018-11-25 16:14:38] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1979730176]
[2018-11-25 16:15:18] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:15:19] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2018-11-25 16:15:19] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 16:15:19] |         XmlParse.cpp-L2065: SetNodeValue [AutoExposureTimeLowerLimit], [Value = 1 must be equal or greater than Min = 40. : OutOfRangeException thrown in node 'AutoExposureTimeLowerLimit' while calling 'AutoExposureTimeLowerLimit.SetValue()' (file 'IntegerT.h', line 79)]
[2018-11-25 16:15:19] |         XmlParse.cpp-L2256: SetNodeValue [ExposureAuto], [Node is not writable. : AccessException thrown in node 'ExposureAuto' while calling 'ExposureAuto.SetIntValue()' (file 'EnumerationT.h', line 83)]
[2018-11-25 16:15:19] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 16:15:20] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-134220032]
[2018-11-25 16:15:20] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-142612736]
[2018-11-25 16:15:20] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2018-11-25 16:15:20] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-167790848]
[2018-11-25 16:15:20] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-176183552]
